Objektnummer;Navn;UTMSone;UTMEast;UTMNorth
260;Steinskogen Pukkverk;33;250579;6653006
261;Vestby Pukkverk;33;261071;6612865
262;Fjuk Skog massetak;33;298510;6654933
263;Tangen Pukkverk;33;283022;6690756
264;Beinskinnfjellet steinbrudd;33;-32704;6521412
265;Gravdal Maskin - Vikesdalsmoen;33;-13440;6534135
266;Bjønndalen Bruk;33;272318;6658908
267;Feiringåsen;33;274746;6647774
271;Mårnes kvartsittbrudd;33;461440;7448224
273;Håkonhals;33;528078;7545004
275;Ørtfjell gruve;33;487279;7366787
276;Austpollen sandtak;33;525673;7612089
277;Kjøpsvik kalksteinsbrudd;33;558294;7556078
278;Sørnesodden - Rombak pukkverk;33;611275;7594179
281;Lødingen pukkverk - Anfinnslett;33;517851;7581261
282;Øyvolden kvartsgruve - Drag;33;544864;7545692
283;Austvika - Helgeland Pukkverk;33;420470;7341992
291;Vassfjell Pukkverk;33;268613;7029178
292;Veset fjelltak;33;416668;7310081
293;Forsmolia steinbrudd;33;420562;7308149
294;Lia Pukkverk;33;272638;7034080
297;Skeislia steinbrudd;33;252256;7053287
298;Overskott steinbrudd;33;247889;7053700
299;Torgård (Torgårdsletta);33;268023;7030300
300;Gisna - Flatmoen Statskog;33;241507;6960569
303;Skamferseter massetak;33;246055;6971846
304;Nord-Fosen Pukkverk;33;282801;7142405
305;Skjøla pukkverk;33;269272;7029501
306;Ottersbo Pukkverk;33;242773;7075109
311;Myrasaga massetak;33;249006;7007008
312;Mereftasåsen steinbrudd;33;260813;7017451
314;Urstadberget steintak;33;377093;7159420
315;Selvågdalen (Henda steinbrudd / Hendvågen);33;120170;7012234
316;Balhald Steinbrudd;33;326790;7073720
317;Damåsen massetak;33;203076;6627099
318;Lierskogen Pukkverk;33;236198;6640174
319;Renningsåsen;33;216687;6644578
321;Massetak Synshagen;33;156966;6794841
323;Aursand masseuttak;33;275884;7077798
326;Volgavlen grustak (Wohlen);33;335762;7076065
327;Sandtakområdet Verket;33;242475;6617312
330;Reitan steinbrudd;33;314772;6969104
332;Grønelihøvda;33;170342;6774785
334;Hellvik (Krokavatnet) steinbrudd;33;-32047;6520047
335;Ekle;33;271454;7034188
336;Skyggestein Sandtak - Geiteryggen;33;189868;6572364
337;Breimo grustak gbnr 30/2;33;389368;7318411
338;Lauvåsen, steinbrudd;33;295823;7037460
339;Leivset uttak;33;515995;7456019
340;Vollalia skiferbrudd;33;220508;6938354
341;Dirdal (Stølsdalen dagbrudd);33;-10886;6556107
342;Breding grustak;33;338723;7076402
344;Skallist steinindustriområde, Liafjellet;33;223082;6558129
345;Myhre grustak - Moflata, Fåvang;33;243303;6822523
347;Brannlia;33;285658;7039089
348;Dalen Dagbrudd;33;195346;6559226
349;Bjørntvedt Dagbrudd;33;195664;6566115
350;Bjørkemoen grustak;33;37005;6751910
352;Syljulibakken / Syljuliåsen;33;272389;6726100
353;Ryntveit massetak;33;174624;6597660
355;Hello pukkverk;33;328665;7073406
357;Ramnflauget massetak;33;515747;7624864
358;Toset blokksteinbrudd;33;244605;6969180
363;Kankerud fjelltak;33;238903;6805109
364;Kalkberget, Gåsvatn;33;219759;7014005
366;Stokke pukkverk;33;229029;6574900
367;Ytrehorn;33;55283;6900195
373;Kobbvågen (Hellneset);33;481382;7625458
376;Vang grustak (Bjørgedalen);33;288943;6753853
377;Halsan steinbrudd (før: Langåsdammen steinbrudd);33;318119;7069834
378;Husøy Pukkverk;33;135319;7016025
386;Alta skiferbrudd - Pæska - Storhalla - Langvann - Stilla - Detsika;33;818206;7770390
387;Løland massetak;33;-4906;6561694
388;Kolås masseuttak;33;105398;6634150
389;Breivik Kalkverk;33;11930;6930988
390;Vassendemona;33;40144;6877414
391;Teplingan grustak;33;374531;7205666
392;Furukollen - Støren Prestegårdsskog;33;260918;7000588
393;Furuhaugen;33;269912;7023886
394;Nesodden pukkverk;33;254834;6634834
395;Stormoa (Skyggelia);33;596347;7588273
397;Salomonhullet steintak;33;366953;7179324
399;Masseuttak på Naustdalstranda 1;33;19834;6898945
400;Vammerlia skiferbrudd;33;220185;6939964
402;Reed masseuttak;33;45178;6876429
406;Valum steinbrudd og deponi;33;308366;7069991
414;Fuglastein (Jelsa);33;-3403;6612155
415;Hottran steinbrudd;33;309158;7069447
416;Bjørndalen Pukkverk;33;188808;6581435
417;Wold massetak - Simadalen;33;69684;6732449
418;Hynne massetak;33;314798;7067004
419;Rustmoen 2 - Rustmoen;33;221087;6839389
421;Vian steinbrudd;33;443234;7563780
423;Brandtsegg steinuttak (Lauvåsen);33;339989;7099079
425;Brensmork massetak;33;289200;6692708
426;Tveit sandtak;33;-24290;6556057
428;Starmoen sandtak;33;320484;6751117
429;Evjen granittbrudd;33;473887;7441467
430;Leirfall, Vinne;33;329182;7075430
432;Hartmann Industriområde;33;308009;6706899
434;Hol Pukkverk;33;136855;6733767
444;Jordfallet grustak;33;817837;7780396
445;Jordfallet/Raipas steinuttak;33;818163;7779482
446;Holmen østre;33;816961;7781270
450;Høgåsen massetak;33;350038;6807996
462;Tjeldgrunnen - Liigajohka;33;892729;7829069
478;Hallonenåsen grustak;33;1072940;7797918
480;Nordre Fuglsjøen;33;353445;6804834
482;Gunnbjørndokk;33;175323;6735375
484;Sætredal masseuttak;33;43449;6964167
485;Skarland grustak;33;374164;7169813
486;Kopseng pukkverk (Kaugerud pukkverk);33;189247;6686251
488;Sandbumoen grustak;33;212313;6855237
490;Steinsvik Olivine (Raudehamaren);33;20457;6906630
492;Svanvik kvartsforekomst;33;1082959;7778730
493;Ytterelva massetak;33;282566;7067964
494;Amsrud Nordre;33;261721;6745619
497;Kvelstad;33;336858;7075535
498;Hestvikholmane / Kristvika (Mulig duplikat med 2288);33;129523;7012650
500;Torsteinfjellet steinbrudd Sviland;33;-28728;6558713
503;Kleiva massetak - Reipå;33;440854;7420897
505;Ryghkollen massetak syd (Stryken grustak);33;222400;6634298
507;Bjørklihaugen;33;229321;7022892
508;Holen massetak;33;55309;6926237
509;Håen steinbrudd;33;766616;7834816
510;Lillehammer pukkverk  (Dalhøgda pukkverk);33;262998;6780848
511;Åndalen Pukkverk;33;258715;6743124
512;Slangen grustak (Samsgarden / Snubbmoen);33;199538;6828624
513;Søreide massetak;33;38629;6877848
514;Bergneset steinbrudd;33;672326;7686690
525;Kilemoen grustak;33;236128;6683602
527;Brennemoen grustak / Monaryggen vest gbnr. 50/7, 15/1, 15/2, 15/3;33;290257;6610041
530;Ruste (Brynsmoen (Rustmoen 1));33;220874;6839327
533;Strømmen fjelltak;33;272776;6904982
534;Vika i Misvær;33;499063;7444508
537;Torperåsen pukkverk;33;294609;6610255
540;Mossing nedre steinbrudd;33;308686;7058754
549;Steinsrud steinbrudd (Hovin);33;164408;6649562
550;Myrmo steintak;33;348674;7151695
552;Skjeggestad massetak;33;670137;7660019
554;Grauo steinbrot;33;36403;6754253
556;Heigre løsteinsbrudd - Jutlandveien;33;-40293;6559662
561;Akslevolden steinbrudd;33;230101;6835241
562;Rønningen;33;205208;6555389
564;Osan i Svolvær;33;480740;7568245
565;Kongsligruva (Lomoen næringsområde);33;220282;6840017
571;Tangenmoen pukkverk;33;317104;6639013
574;Viken massetak / Vik;33;224669;6951153
577;Grundset grustak;33;310739;6759940
578;Skedsmo pukkverk, Vardeåsen;33;279579;6660485
582;Kjernmoen;33;338153;6776923
588;Skarven (Raudhaugen) steinbrudd - Dalåstigen;33;234336;6836497
589;Roverudmyra;33;257870;6779286
594;Skårhaug masseuttak;33;25575;6897907
596;Digerneset - Klubben;33;34903;6928870
598;Veikledalen grustak og Jora kraftverk;33;219583;6851389
599;Kleivberga fjelluttak;33;243642;6825838
601;Karihaugen steinbrudd;33;514907;7622477
602;Akersmyr industriområde;33;35735;6472878
605;Søberg sandtak, Gravråksmoen;33;263657;7022166
606;Valsneset;33;236532;7088076
607;Onsøy pukkverk;33;262375;6574674
608;Melkefoss grustak;33;1075492;7769117
611;Vestsiden pukkverk;33;234871;6683146
612;Sagfloten (Sagefloten);33;44919;6876574
614;Hogstad grustak;33;-26141;6564351
617;Trælen grafittgruve;33;591106;7705385
621;Seljestokken steinbrudd;33;-29063;6878578
622;Handeland massetak;33;28817;6554698
630;Revåfoten;33;218923;6799644
633;Frang gård masseuttak;33;288366;6735190
639;Kvålsgrend pukk;33;119256;6616744
640;Gevelt grustak - Ryghkollen;33;222059;6634091
641;Hådalen grustak;33;319153;6937013
642;Gausland massetak (Jærbetong);33;-38202;6541569
644;Sørlie masseuttak;33;202152;6864668
645;Ransverk;33;188476;6858258
648;Nedre Tho masseuttak;33;210407;6860972
653;Fundli;33;115044;6636421
655;Nausteregga grustak;33;292274;6898514
656;Malme;33;104980;6987207
660;Moi steinbrudd;33;-26954;6536586
661;Straumen massetak;33;168342;6683645
663;Sandanger steinbrot;33;-10108;6597526
666;Moen massetak - del av 233/1 og 6/1;33;233700;6954954
668;Sliper steinbrudd;33;204875;6952110
669;Hanset grustak;33;139392;6972493
670;Bergersjøen Sør massetak;33;326458;6764181
671;Bergan grustak;33;315237;6956118
676;Brenngammen grustak;33;1050433;7829691
678;Gøysamyra / Bergekrossen massetak;33;-11268;6562985
679;Slyngjemyra industriområde;33;368434;7247791
681;Skoppum pukkverk;33;239624;6591190
