Objektnummer;Navn;UTMSone;UTMEast;UTMNorth
1522;Skredbergo;33;165835;6807226
1529;Oksedalen/Nordheim;33;119559;6506137
1535;Djupdalsmoen;33;220706;6691979
1536;Heen Grustak;33;236787;6684503
1537;Heen Sand - Hensmoen;33;235659;6686261
1539;Kilemoen;33;235289;6683222
1540;Lamoen;33;235886;6674158
1541;Prestmoen Grustak;33;234998;6675602
1545;Bye Grustak;33;235897;6670654
1550;Gulsvik Naturstein og massetak;33;199334;6707113
1553;Garnås (Dokkelve);33;173433;6736887
1556;Bergheim grustak;33;182696;6719080
1572;Nilshaugstranda (tidl kalt Langeseth);33;154952;6758690
1577;Trillhustippen;33;162007;6740774
1581;Hovet masseuttak;33;165297;6751578
1586;Horga steintipp;33;195814;6665205
1591;Redalen;33;208333;6683000
1593;Amundrud masseuttak (Djupgrop);33;215577;6658377
1595;Bøen Grustak;33;215516;6659931
1596;Kjemperud Grustak (før Kjølstadmoen);33;218828;6655833
1600;Langsrudåsen;33;213045;6672304
1604;Djupgrop masseuttak;33;215612;6658424
1605;Kløftefoss (Slettmoen);33;212635;6672328
1606;Komperud;33;215811;6653010
1607;Fukserud/Leversbyveien;33;214535;6647328
1613;Lyngås;33;233380;6640816
1617;Haugen;33;196184;6636921
1621;Sandbæk;33;195427;6643523
1622;Ramsrud - Svene;33;196081;6638722
1623;Åsland A og B;33;189596;6642923
1627;Fossan masseuttak;33;184360;6656159
1628;Gvammen masseuttak;33;176808;6670705
1637;Wårviken;33;181036;6667020
1641;Ødegården masseuttak gbnr 42/1 (Grønneflåta);33;154380;6697284
1644;Grønneflåta (Nørstebø);33;154534;6697531
1646;Solumåsen;33;235006;6600543
1647;Tyvika;33;148885;6946497
1650;Taranrød Pukkverk;33;232215;6583149
1651;Fokserød;33;226013;6569299
1661;Sønseth pukkverk;33;223427;6588749
1665;Nenseth;33;192598;6570972
1672;Lidalen;33;162981;6623982
1677;Hegna grustak (Ørvella);33;162645;6624317
1679;Vierød;33;200979;6578785
1680;Dåpan;33;205352;6577759
1681;Streket;33;205503;6577483
1683;Landmannsbukta;33;202177;6581492
1684;Kisteseter nord;33;204977;6581143
1685;Skytebanen ii;33;200977;6582550
1687;Toklev;33;197035;6591540
1688;Toa;33;197257;6593551
1689;Toatippen;33;196855;6592767
1690;Husmannsriset - Skotmyrane;33;202906;6586315
1692;Almedalen;33;196458;6589705
1694;Moan steinbrudd Skaugvoll II;33;459675;7430788
1707;Vågavannet;33;727399;7778749
1710;Lønne;33;169670;6541616
1713;Haug;33;154392;6566255
1732;Eikja grustak;33;162793;6604110
1735;Herremo Syd;33;153600;6603431
1736;Herremo;33;153014;6604119
1747;Kanalen v/ Mæl;33;153194;6659200
1749;Mårvik Grustak;33;152582;6666629
1750;Raje steinbrudd;33;157277;6672842
1751;Espeland grustak;33;149712;6666957
1754;Moen, Storekleiv hyttefelt;33;155980;6632800
1769;Grotnes;33;139452;6592698
1776;Stusstjønn;33;127030;6555587
1778;Treungen;33;130154;6559583
1779;Øverland;33;130190;6559707
1780;Molandsmoen (Sikvae);33;105150;6583462
1782;Snarteland;33;104894;6584151
1783;Dalen - Huvestad;33;102440;6610858
1794;Landvik Pukkverk;33;120776;6485503
1797;Klodeborg Pukkverk;33;133508;6496302
1798;Moreina;33;152320;6544691
1799;Fardalsmoen / Våle;33;152692;6546076
1803;Høigilt;33;101114;6482463
1804;Storemo gbnr 32/15-16;33;101086;6484747
1805;Kvernhusmoen;33;101353;6482791
1809;Gjøvland;33;124022;6535866
1812;Seljås;33;126563;6537333
1814;Ståa, Seljås;33;125998;6536856
1823;Kjetså;33;76566;6512243
1827;Syrtveitmoen;33;82471;6521439
1830;Ellingstjønn, Bjånes;33;81660;6547490
1834;Hekni;33;72947;6566342
1839;Nord for Sordal;33;73577;6561523
1848;Sundet;33;80933;6548214
1851;Sør om Sandnes;33;81159;6550141
1855;Kåvenes (Upstad);33;71987;6578667
1873;Kongsgårdbukta;33;90686;6467646
1874;Jåbekk;33;58397;6456197
1876;Frestadmona gård;33;13654;6472742
1880;Røssevika;33;12538;6469649
1883;Trøngsla;33;14384;6491196
1884;Rannestad;33;13969;6506874
1886;Støleheia;33;83247;6479483
1887;Mjåvann pukkverk;33;80761;6466694
1889;Sveinall;33;59164;6482486
1891;Nome massetak;33;63016;6469616
1893;Ljosland - Kleivekrønan;33;58871;6539463
1894;Smeland sandtak;33;62836;6527256
1895;Tjaldal;33;66306;6541668
1904;Midtbø;33;55227;6490853
1907;Hausvik industriområde;33;27899;6462235
1908;Egeland sandtak;33;27970;6490640
1912;Lisemyr - Fintlandsmoen;33;20654;6533380
1915;Skaret masseuttak, Suleskard;33;40838;6569967
1922;Gjermestadknuten;33;-27679;6520627
1935;Hogstad steinbrudd;33;-27324;6563763
1943;Skåland masseuttak;33;6894;6506440
1944;Ollestad 1;33;-1413;6520020
1946;Skjeggestad;33;5143;6514589
1951;Årdalen;33;5988;6520140
1955;Espeland;33;-8279;6542737
1958;Storemo - gbnr 32/6;33;101003;6484935
1960;Lille Svela sandtak;33;-18468;6532574
1962;Ørsdalen 624;33;-1009;6534786
1963;Varden - Ogna steinbrudd;33;-35951;6525131
1967;Friestad;33;-39537;6527302
1968;Horpestad  nord;33;-45324;6549600
1977;Kartavoll;33;-30834;6535695
1985;Sæland massetak;33;-31336;6545717
1989;Øvrekluge;33;-24493;6549361
1990;Oltedal;33;-17199;6554805
2000;Holane Bjørheimsbygd;33;-12543;6582115
2013;Birkeland;33;15591;6644633
2020;Hiksdal;33;-14714;6644854
2023;Arna Steinknuseverk;33;-25762;6741483
2027;Stendafjellet;33;-33349;6722296
2032;Hinderli;33;-41371;6641552
2037;Teigland;33;-27903;6694966
2042;Sollesnes skiferbrudd;33;18510;6717129
2047;Eikhovden - Espelandsdalen;33;54221;6745442
2058;Haukeli  steinbrot;33;17158;6728317
2060;Dale 1;33;-13425;6719958
2061;Vinnesbruddet;33;-20163;6705115
2066;Våge;33;-16961;6724914
2067;Ådnadalen;33;-30321;6710904
2079;Hjertås;33;-40766;6751450
2091;Fruli / Hillestadstølen;33;85210;6824593
2092;Vestre Kletten Varlid;33;-32517;6830310
2096;Løkenvangen;33;290528;6686791
2100;Framfjord - Vabergane;33;35515;6794412
2105;Sværefjorden;33;45728;6822279
2118;Ljøsne;33;101394;6790688
2124;Moa materialtak;33;116272;6819023
2127;Gaupne (Høgemoen 2);33;87420;6834073
2132;Bøvra elv (Sulheim knuseplass);33;152214;6865328
2133;Reiarmoen;33;87163;6836388
2140;Bjønnamoen massetak (Bjørnamoen massetak) (grustak);33;374922;7186137
2147;Løfall;33;7875;6832585
2148;Årbergsdalen masseuttak (Løfall);33;8458;6830975
2154;Nesbakkane;33;24904;6848398
2156;Havstad / Førde;33;14324;6846736
2168;Smørhamn;33;-28775;6890817
2169;Allmenningsfjellet massetak;33;-13404;6904201
2171;Smyskorane;33;-12836;6904428
2174;Borgunvåg;33;-4075;6928616
2177;Lund;33;12235;6899552
2179;Norsmona;33;34013;6896496
2183;Kjøs;33;54604;6896518
2186;Lakshammertunnelen;33;21045;6875969
2191;Brynestad masseuttak;33;69696;6881851
2202;Moldreim;33;45385;6885517
2206;Sandnes;33;69960;6878112
2213;Øvreeid;33;71631;6892874
2214;Øvreeide;33;71901;6893047
2217;Øvre Istad;33;129107;6985866
2224;Røda;33;17489;6920682
2230;Småstranda;33;6059;6917453
2234;Sætrevika;33;5515;6931966
2239;Småstranda;33;21576;6947230
2240;Ulstein Knuseverk, Kvalneset, Haddal;33;26036;6941317
2242;Hjørungavåg;33;36302;6952209
2245;Alida;33;31856;6928081
2246;Skinvik, Austefjorden;33;46044;6911564
2252;Gausnes steinbrudd (Gausneset) (Sjøholt pukkverk);33;77161;6952314
2254;Syltemoa;33;99210;6932024
2255;Opshaug-Stranda;33;84687;6930902
2264;Andestad pukkverk;33;70268;6948420
2265;Hundeidvik, 6224;33;57344;6944391
2266;Riksheim;33;64210;6942303
2273;Horgheim;33;129115;6947307
2274;Isfjorden massetak (Høgholen);33;132985;6957203
2276;Breihjellen;33;116980;6949774
2279;Veblungsnes;33;123241;6957150
2280;Fredsvik sandtak;33;155937;6979484
2284;Nautnes;33;88086;6990624
2286;Sande Grusttak - Malme;33;104320;6987223
2288;Bruhagen Industripark(Mulig duplikat med 498);33;129773;7012757
2296;Stormælen;33;168951;6963209
2299;Hårstad Grustak;33;168811;6963014
2300;Smestad Grustak gbnr. 65/1;33;163685;6967345
2305;Kvammen massetak;33;201948;7001588
2309;Talgø;33;184259;6977299
2310;Aasgård sandtak, gbnr. 88/2, 88/2-2, 88/2-3;33;171229;7003977
2311;Oppsjøtippen;33;150422;6739988
2312;Saga;33;84234;6511339
2321;Hestnesdal;33;173792;7015421
2323;Stokkjølen;33;176543;7019823
2329;Gangåsen;33;185074;7045060
2382;Neverlia;33;204229;7062036
2386;Åremmen;33;240951;7060259
2388;Finlia;33;272004;7075611
2400;Skola;33;265649;7103578
2404;Sessmoen;33;223278;6946477
2405;Svahøa;33;218376;6968337
2409;Skamfærseter;33;246012;6972563
2414;Koltjønna;33;253336;6995469
2415;Løkken pukkverk (Moshaugen);33;230396;7011178
2419;Rundmyra Grustak;33;228913;7005198
2421;Solem (Moen);33;227792;7005829
2425;By (Garberg);33;237285;7020879
2443;Folstad;33;263373;6997743
2449;Fremo grustak;33;267081;7016743
2450;Reitan grustak - Fremo;33;267860;7017105
2451;Kneppet grustak - Fremo;33;269989;7019264
2453;Høgmælan;33;260991;7021417
2459;Søberg grustak - Anleggsgrus;33;263659;7022874
2468;Grøtem;33;295580;7020596
2475;Julskaret;33;296785;7006534
2481;Rollset grustak;33;308293;7012050
2504;Svarthølvika;33;341978;6977964
2509;Bruem;33;333567;7101508
2510;Vive steinbrudd;33;333156;7103638
2513;Gaulstad;33;358375;7098190
2514;Gladsjø nordre søndre;33;321104;7117568
2515;Holt grustak;33;317948;7118484
2516;Nordtuvgruva (tidl. Jådåren);33;326952;7112822
2517;Lerkehaug - Steinkjer Pukkverk gbnr: 97/63;33;328872;7100233
2518;Melgårdsmyra;33;327172;7092357
2520;Okstad 2;33;335616;7096305
2521;Røsegg grustak;33;328595;7112809
2527;Støa;33;340551;7102517
2528;Svedjan grustak;33;345375;7099625
2529;Søråsen;33;317527;7117201
2545;Egga grustak / Tømmeråsegga;33;336772;7035260
2555;Sneiåsen;33;343448;7031647
2557;Teveldalen;33;351150;7026980
2560;Øyan Steinbrudd;33;340963;7030737
2573;Tylda;33;314783;7048229
2575;Østerås;33;317487;7044317
2576;Aunsjøen;33;295493;7059442
2611;Melby masseuttak (Sundby);33;333613;7075508
2629;Stene sandtak;33;332591;7078411
2647;Taraldsgården;33;298046;7074186
2648;Tjuvholet;33;296064;7084441
2668;Hall;33;318037;7089978
2670;Raastad steinbrudd;33;314779;7091005
2673;Stokkan Steinbrudd;33;308845;7089592
2675;Kjenstad steinbrudd;33;371846;7119629
2676;Kleiv;33;367927;7120928
2679;Kleivmoen;33;367686;7121166
2686;Almo Grustak;33;381825;7129254
2687;Øydingen skiferbrudd (tidl.: Storøyningen);33;387328;7120281
2688;Strindmoen steinbrudd;33;357285;7119453
2689;Vågskorsvollan på Snåsaheia v/ E6;33;371578;7134062
2690;Brønstad (tidl. Estil grustak);33;444684;7123921
2696;Nesset;33;428544;7146761
2697;Sørsætran;33;424046;7147538
2702;Tunnsjø massetak;33;436425;7170349
2718;Løvmoen;33;418904;7213306
2719;Namstad;33;408774;7197390
2722;Trones (Tronesmoan);33;397224;7180481
2724;Bjørgan grustak;33;371583;7143925
2726;Steinsåa grustak;33;370729;7152204
2728;Bjørnes grustak gbnr 54/3, 54/5, 53/2 (Fallgruva);33;356464;7158056
2733;Hundsmoen 1;33;356557;7153681
2734;Klykken;33;357175;7151351
2740;Aunet;33;322131;7171467
2746;Bjønnahaugen;33;300909;7140786
2749;Ryem steinbrudd (Namdal pukkverk);33;319485;7197552
2752;Marøya steinbrudd;33;322008;7197397
2753;Brodd;33;344352;7223193
2763;Kvikstad grustak;33;497928;7456819
2765;Beisfjord masseuttak;33;607515;7584585
2772;Prestjorddalen;33;605133;7609642
2775;Brevika;33;370129;7217490
2778;Lysfjord;33;363485;7222909
2784;Akset;33;386060;7253938
2795;Hamn Grustak;33;377070;7286028
2814;Ravnågmoen (Høgmoen/Geitåsen);33;419760;7287909
2815;Stormoen;33;417706;7286966
2821;Grane steinbrudd - Fellingfors;33;426642;7270731
2824;Laksforsmo (gbnr 39/1);33;421302;7278132
2827;Sagarmo;33;438438;7257410
2828;Sefrivatn steinbrudd;33;422194;7236558
2830;Strendene;33;426048;7257781
2840;Ivarrud;33;452612;7255336
2850;Villmoen;33;455847;7275160
2853;Langberget;33;411105;7342210
2856;Boldermoen (Bjuråmoen);33;447707;7323381
2866;Villmoen;33;446740;7327359
2867;Altermark grustak;33;454531;7356536
2869;Langvasshei;33;467845;7361156
2896;Skysselvik massetak;33;518150;7458436
2901;Kjølåsen-Leinesfjord;33;501853;7516636
2911;Fiskefjorden;33;544815;7605373
2914;Straumsneset;33;559529;7600131
2929;Flakstadtind;33;429062;7555190
2945;Lilleeidet - Tussan;33;439585;7560671
2949;Nykmark;33;447848;7566562
2955;Tangstad steinbrudd;33;443005;7570248
2957;Nedre Voll;33;445131;7565021
2970;Bergvik masseuttak;33;493375;7605885
2971;Haugamyran;33;263313;7080090
2973;Grunnfør;33;481646;7588854
2983;Minneåsen;33;503227;7646271
2984;Staven steinbrudd;33;503156;7639767
2986;Kjerringnes grustak;33;520597;7616577
2987;Kringelen steinbrudd;33;518502;7623359
2997;Blomjoten masseuttak;33;561482;7622847
2999;Grønnbakken grustak;33;558335;7633953
3000;Maritlia;33;551105;7638854
3007;Tønsvika;33;661074;7741824
3012;Vebostadsetra;33;545890;7625421
3017;Jevningen;33;635478;7645795
3020;Rørbakken, Bakkemo;33;610725;7653220
3023;Bakkehaug massetak;33;655209;7661774
3024;Berg steinbrudd  - gbnr 57/10;33;642139;7672386
3037;Moenggruva;33;664615;7644138
3044;Rognmogruva;33;646486;7666303
3045;Sandbakken;33;639737;7675834
3046;Øvermoen (Nermoen);33;626491;7670168
3049;Nermoen;33;627584;7670500
3053;Sørreisa pukk - Øyjordneset;33;625250;7675136
3062;Olaheimen;33;582205;7667823
3070;Torskenskaret;33;583058;7695115
3079;Botnhågen - Finnfjordbotn;33;623313;7683465
3081;Ansnes;33;634967;7715225
3095;Bårbakken gbnr 52/6;33;696900;7688398
3109;Tørfosskogen/Elv Einevoll;33;742041;7742481
3120;Kramvika i Kiberg;33;1093004;7875032
3126;Bjørnstad, Tverrelvdalen;33;825764;7779954
3141;Risdalen - Hasvik havn;33;765428;7838797
3166;Jergul;33;876889;7728397
3172;Øynaheia;33;118862;6502475
3186;Øvre Viddis;33;950178;7805611
3187;Gandvik;33;1034614;7828905
3198;Aga steinbrot;33;37192;6715195
3210;Fardalsmoen;33;152757;6545987
3216;Bottum/Bottom;33;253097;6791438
3227;Bergheim - gbnr 215/1;33;203414;6863400
3228;Tørrmoen masseuttak;33;310351;6650774
3232;Mellomseter fjelltak M2;33;196087;6701258
3235;Isakdalen;33;356342;7154150
3249;Silobakken grusuttak;33;713942;7696385
3251;Bryggeså - Eikås sagbruk;33;43863;6510593
3262;Figgjo;33;-30165;6553135
3270;Berg og Dahl massetak;33;239468;6789355
3273;Korsegga grustak;33;307501;6934352
3274;Veråjordet / Verjåa Grustak;33;306532;6934450
3275;Henningsegga Grustak;33;300519;6936950
3277;Djupdalen massetak;33;339650;6846713
3280;Kvenndalen;33;232946;6978040
3285;Gismarvik;33;-44436;6613191
3287;Bukkhammeren steinbrudd;33;279905;6908869
3288;Hellebrudd Kverve - Veråsen;33;124775;6511267
3290;Studedalen;33;98601;6471244
3306;Kvalbein brudd (Friestad);33;-39380;6526989
3310;Valevåg;33;-33867;6657439
3314;Tveit/Ullestad masseuttak (Tveit aust);33;813;6587180
3315;Øvre Valheim;33;221;6587885
3318;Uleberg massetak - gbnr 8/4;33;75772;6517969
3324;Stokkeland;33;91450;6968991
3337;Kleivhammar (Vrådal);33;131366;6591497
3339;Strokstensåsen massetak;33;332396;6996967
3350;Butjern fjelltak;33;313929;6601049
3352;Evenbyåsen;33;303879;6624958
3356;Tveit grus og massetak;33;146205;6574551
3358;Stoa vest masseuttak;33;132860;6497491
3364;Dale 2;33;-13279;6719990
3365;Dale 3;33;-12866;6720207
3366;Hoemsneset;33;97730;6990925
3367;Hustad-ura;33;519681;7582729
3368;Øygårdsrapet/Lødingenrapet;33;538579;7587849
3369;Tussanfjæra;33;439577;7560907
3370;Lilleeidet - Rasmussen Anlegg;33;439349;7559034
3372;Tykkeriset;33;310817;6786351
3376;Hegglia pukkverk;33;246911;7023051
3377;Tyttebærvika massetak - I1/I2 - se også obj.nr. 826;33;692833;7729134
3380;Eikeland steinbrudd;33;-12673;6538107
3381;Birkeland steinbrudd;33;-17095;6542414
3382;Møn stein- og masseuttak;33;37806;6751290
3390;Dalen Pukkverk;33;316537;7134148
3392;Haugedal;33;62987;6485791
3393;Masseuttak Ruskåsveien;33;326973;6997926
3398;Gagnat;33;147430;6995538
3400;Stormoen (Sætervang);33;667787;7681766
3408;Søndre Risteigen;33;176656;6669839
3412;Åse i Indrefjorden;33;34455;6793884
3413;Stokkosen;33;136340;6575078
3414;Garastølen;33;214331;6770425
3417;Raudberget Hemsedal;33;158306;6756814
3419;Grasåsen;33;148599;6642202
3424;Narsætra;33;306402;6758802
3425;Høvåg Hellebrudd - Åmland;33;101865;6466190
3433;Gjermundnes masseuttak (Natursteinpartner);33;99776;6967616
3436;Mjåvatn steinbrudd;33;120653;6506854
3440;Straumsengbakken - Auma steinbrudd;33;273359;6907201
3446;Lofthus masseuttak og steinbrudd;33;172698;6675305
3448;Kulu steinuttak;33;147642;6736203
3449;Torpo masseuttak;33;155434;6741131
3455;Østheim;33;315849;7042025
3460;Kleppstad;33;470110;7572039
3461;Bakkeberget masseuttak;33;297506;6728028
3470;Namstad grus;33;408799;7197381
3472;Moen steintak;33;381434;7165045
3473;Steinbrudd Finesåsen (Fines fjelltak);33;283019;7082294
3476;Stenersen massetak;33;258433;6708570
3478;Dokkedalen masseuttak;33;203820;6753498
3479;Gjefle skog;33;231860;6760118
3480;Steinsvatnet/Rosaberget;33;183115;7078989
3488;Graneng grustak;33;278520;6916102
3489;Lundesæter steinuttak;33;350306;6687312
3490;Grinder;33;337664;6698404
3491;Svartmoen steinbrudd;33;11465;6738617
3492;Ryddøla;33;202746;6878862
3493;Lordalen grustak gbnr. 157/1;33;167925;6903471
3494;Lindviksgruva (Linviksknappen);33;242600;6815353
3496;Dokkfløytippen;33;229362;6782379
3497;Esbjerg;33;225562;6755530
3500;Myreng - Husalie;33;208634;6766479
3506;Lille Høyheim;33;93624;6830771
3507;Sunde;33;46948;6853124
3512;Lauvåsfeltet;33;220879;6853927
3513;Lo-uttaket;33;220022;6840055
3514;Evertmoen steinbrudd;33;607936;7664556
3517;Tangeråsen;33;340474;7103288
3520;Botnberget (Aspneset);33;433550;7130446
3526;Bankaren;33;192036;6997914
3528;Ramsberglia;33;133005;7002200
3531;Bjorsåte massuttak;33;179199;6668534
3532;Saghøgda;33;155350;6992232
3540;Tvedalen;33;204728;6555889
3541;Maskinførerskolen - Bufjell;33;509263;7628280
3542;Heggdalane, gbnr 18/3;33;61676;6812075
3543;Hagskaret;33;400458;7508002
3544;Gjerdbakken;33;402865;7509583
3546;Høgseter;33;206997;6865919
3551;Hyttatippen;33;166363;6700171
3553;Vang;33;327099;7069812
3557;Risberget massetak;33;341859;6748763
3561;Kvæstad;33;12412;6622244
3563;Ådalen grustak;33;279572;6900860
3564;Estensmoen grustak;33;262384;6935301
3567;Løvåsen;33;289254;7059999
3568;Øldalen (Nedre);33;218918;6843099
3569;Storhauggruva gbnr 26/1;33;646139;7665898
3570;Sembshagen;33;260849;6768798
3573;Stormoen avfallssenter;33;668062;7682234
3574;Skipavika Næringspark;33;-40137;6787864
3578;Sveindal industriområde;33;61350;6505827
3579;Somma masseuttak;33;234434;6697305
3581;Ekeberget 51/11;33;339648;6656013
3583;Ekeberget 51/4;33;340170;6656509
3584;Ekeberget 51/1 m. fl;33;339661;6656111
3587;Våddånesset;33;226416;7033022
3589;Ravlo masseuttak;33;328721;7072340
3592;Valørholtet steinbrudd;33;625508;7640842
3600;Bugten sandtak;33;192863;6571032
3602;Alida 2;33;31871;6928240
3603;Skogberget fjelltak;33;301590;6846289
3605;Vuku steinbrudd;33;337758;7076779
3607;Toverud pukk og deponi;33;239684;6652064
3608;Fenes;33;564501;7649267
3609;Kverneland Industriområde;33;-36236;6553143
3610;Vælerenveien gbnr 248/77;33;225909;6672822
3611;Grønbogen steinbrudd;33;192419;6900698
3612;Troholten grustak;33;427839;7268115
3618;Hovland industriområde;33;-26063;6512959
3620;Treskeia grustak;33;309524;6940710
3621;Nordland masseuttak;33;-20402;6556864
3622;Fossøya;33;203286;6832808
3626;Fikkjebakke;33;168151;6543072
3627;Masseuttak gbnr 62/27;33;416571;7207357
3629;Gullmoen grustak;33;422791;7324228
3630;Møen (nord);33;37793;6751849
3631;Rosten Masseuttak;33;206064;6874366
3632;Brenna;33;604659;7602145
3633;Murtnes masseuttak;33;303856;6586587
3634;Åmbø Massetak/deponi;33;42761;6925026
3637;Sørenebo nordre;33;152694;6918228
3638;Ekre Masseuttak gbnr 183/18;33;199494;6859832
3639;Mørreura (Råkheian) - gbnr. 46/3;33;266349;7096519
3640;Lauareid næringsområde;33;1643;6654697
3642;Kåsa i Storlidalen;33;200086;6963990
3643;Lomoen, Område 3;33;219974;6839774
3644;Åsskardhaugan steinbrudd gbnr. 88/2, 88/2-2, 88/2-3;33;168381;7004763
3660;Gubbeskallen;33;321587;6669757
3667;Bøndergjerde (Ellingsgarden);33;90387;6962317
3668;Fagerlia;33;335649;7040999
3669;Stensåsen - Skogsbygda;33;311854;6738421
3670;Kjevikadalen;33;-31557;6763688
3671;Oksneset;33;-53639;6756685
3672;Eide;33;-51303;6736435
3674;Beinmyr;33;84492;6506615
3675;Smenelia;33;84250;6516359
3676;Heggvollan masseuttak;33;224499;6949232
3678;Smyskorane syd;33;-12836;6904428
3680;Eidsnes;33;-22523;6756247
3690;Vilberg 177/12;33;287097;6677684
3691;Aspås steinbrudd;33;146311;6992954
3693;Skjærberget massetak;33;354452;6723048
3694;Tagli massetak;33;24872;6509689
3695;Espset;33;169578;7031721
3696;Lergruvbakken fjelluttak;33;312166;6951824
3697;Ryseteråsen grustak;33;281402;6929015
3698;Hestbrinken;33;517545;7410332
3699;Øveråslia;33;89710;6970712
3700;Åsstad masseuttak;33;194720;6872991
3703;Enger Østre;33;238635;6649746
3705;Uvdal gbnr 39/2;33;153387;6697406
3706;Breivika - v Kvernhuselva;33;370039;7217272
3707;Skoganvarre / Øvrevann;33;886743;7779582
3711;Englandsbakken;33;-32800;6840806
3714;Fellesteigen - Benkedrivar Jan Olav Grevle;33;37200;6756645
3715;Lisebetberget, Skatval;33;293975;7049677
3716;Fiksdal skiferbrudd gbnr. 152/1;33;257518;7073630
3717;Rauland mellem - gbnr 39/1;33;153568;6697507
3722;Bergmoen - 152/38;33;285820;6677736
3725;Ulvberget fjelluttak;33;286766;6834985
3726;Lunden Sandtak;33;117230;6486549
3728;Klype massetak;33;138141;6756689
3731;Singsås gbnr 230/28;33;28549;6986991
3732;Moen steinbrudd + Moen massetak gbnr 232/1, 241/1, 75/1, 219/1, 225/1, 231/4;33;233822;6954733
3736;Solbu gbnr 49/1;33;238524;7019688
3737;Kippen steinbrudd;33;186235;6647374
3741;Bjarne Haugstad;33;59310;6521277
3742;Uttak på Tautra, gbnr. 83/3;33;281366;7056677
3745;Dollhus;33;197883;6702369
3746;Bru;33;-36350;6525449
3747;Tunsbergdalsdammen;33;86123;6839167
3749;Hetland (gnr/bnr 115/1);33;-35948;6530137
3750;Løvikneset;33;-26783;6895888
3758;Bjonskog massetak;33;236318;6713618
